gene	target_sources	target_sets	model_terms_supported	best_priority	is_tf_or_regulatory_candidate	n_target_rows	sample_accession	donor_id	present_in_h5	gene_feature_index_0based	gene_feature_id	gene_feature_name	chrom	gene_start	gene_end	n_peaks_total_100kb	n_gene_body_overlap	n_gene_edge_2kb	n_proximal_10kb	n_distal_100kb
NFIB	manuscript_candidate_tier	Tier 1 core convergent program	ConstructionBalance	highest	True	1	GSM9558427	H628	True	16303	ENSG00000147862	NFIB	chr9	14180791	14398983	44	31	1	1	11
NOTCH1	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	False	2	GSM9558427	H628	True	17435	ENSG00000148400	NOTCH1	chr9	136546047	136546048	17	1	1	0	15
NOTCH2	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558427	H628	True	1796	ENSG00000134250	NOTCH2	chr1	120051713	120069662	2	1	0	0	1
NRP1	niche_circuit_module	downstream_neurite_morphology	ConstructionBalance	high	False	1	GSM9558427	H628	True	17856	ENSG00000099250	NRP1	chr10	33334381	33336262	0	0	0	0	0
NRXN1	niche_circuit_module	downstream_neurite_morphology	ConstructionBalance	high	False	1	GSM9558427	H628	True	3983	ENSG00000179915	NRXN1	chr2	49973938	51032561	144	133	1	1	9
OTX2	developmental_origin_module	anterior_telencephalic_pattern	FatePolarity	medium_high	True	1	GSM9558427	H628	True	24306	ENSG00000165588	OTX2	chr14	56805647	56816693	20	4	0	2	14
PAX2	developmental_origin_module	hindbrain_rhombic_lip_pattern	FatePolarity	medium_high	False	1	GSM9558427	H628	True	18529	ENSG00000075891	PAX2	chr10	100745710	100746220	7	1	2	1	3
PAX5	developmental_origin_module	hindbrain_rhombic_lip_pattern	FatePolarity	medium_high	False	1	GSM9558427	H628	True	16537	ENSG00000196092	PAX5	chr9	37025747	37034268	8	2	0	1	5
PAX6	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;cerebellar_fate_rhombic_lip_shh;deep_neural_progenitor	FatePolarity	high	True	3	GSM9558427	H628	True	19444	ENSG00000007372	PAX6	chr11	31804045	31817961	29	5	0	3	21
PAX8	developmental_origin_module	hindbrain_rhombic_lip_pattern	FatePolarity	medium_high	False	1	GSM9558427	H628	True	4736	ENSG00000125618	PAX8	chr2	113241778	113278921	10	0	2	1	7
PLXNA2	niche_circuit_module	downstream_neurite_morphology	ConstructionBalance	high	False	1	GSM9558427	H628	True	2882	ENSG00000076356	PLXNA2	chr1	208244383	208244384	34	1	2	4	27
PLXNA4	niche_circuit_module	downstream_neurite_morphology	ConstructionBalance	high	False	1	GSM9558427	H628	True	14300	ENSG00000221866	PLXNA4	chr7	132576469	132648688	12	5	1	0	6
POT1	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	14210	ENSG00000128513	POT1	chr7	124929800	124929983	5	1	1	0	3
PPP3CA	manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	ConstructionBalance	high	False	2	GSM9558427	H628	True	8696	ENSG00000138814	PPP3CA	chr4	101346841	101347526	20	1	2	1	16
PROM1	developmental_origin_module	deep_neural_progenitor	FatePolarity	medium_high	False	1	GSM9558427	H628	True	8073	ENSG00000007062	PROM1	chr4	16076117	16084378	12	2	0	0	10
PROX1	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	2	GSM9558427	H628	True	2964	ENSG00000117707	PROX1	chr1	213987934	213988517	16	1	1	5	9
PTCH1	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	False	3	GSM9558427	H628	True	16872	ENSG00000185920	PTCH1	chr9	95507198	95517057	24	4	1	3	16
RAB7A	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	7111	ENSG00000075785	RAB7A	chr3	128726121	128795359	20	5	0	2	13
RBFOX3	developmental_origin_module	shared_postmitotic_granule_maturation	EpigenomicCompatibility	medium	False	1	GSM9558427	H628	True	29913	ENSG00000167281	RBFOX3	chr17	79235804	79516148	99	57	1	5	36
RFX3	manuscript_candidate_tier	Tier 1 core convergent program	ConstructionBalance	highest	True	1	GSM9558427	H628	True	16228	ENSG00000080298	RFX3	chr9	3395587	3526001	12	10	0	0	2
RFX7	manuscript_candidate_tier	Tier 3 broad both-screen mechanism support	ConstructionBalance	medium_high	True	1	GSM9558427	H628	True	25696	ENSG00000181827	RFX7	chr15	56243265	56243266	6	0	1	2	3
ROBO2	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558427	H628	True	6740	ENSG00000185008	ROBO2	chr3	75906694	77477410	57	49	0	0	8
RTN1	niche_circuit_module	downstream_neurite_morphology	ConstructionBalance	high	False	1	GSM9558427	H628	True	24339	ENSG00000139970	RTN1	chr14	59630608	59870776	54	31	1	1	21
RTN3	manuscript_candidate_tier;niche_circuit_module	Tier 4 screen-specific mechanism support;downstream_neurite_morphology	ConstructionBalance	high	False	2	GSM9558427	H628	True	19914	ENSG00000133318	RTN3	chr11	63681445	63681573	20	1	1	1	17
SEMA7A	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558427	H628	True	25986	ENSG00000138623	SEMA7A	chr15	74433703	74433958	21	1	0	3	17
SIX3	developmental_origin_module	anterior_telencephalic_pattern	FatePolarity	medium_high	False	1	GSM9558427	H628	True	3927	ENSG00000138083	SIX3	chr2	44941701	44941702	9	1	0	2	6
SLC17A6	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 4 screen-specific mechanism support;downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558427	H628	True	19385	ENSG00000091664	SLC17A6	chr11	22338380	22338381	1	0	0	0	1
SLC17A7	developmental_origin_module;niche_circuit_module	downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	high	False	2	GSM9558427	H628	True	32441	ENSG00000104888	SLC17A7	chr19	49441526	49442360	30	1	1	6	22
SNAP25	developmental_origin_module;niche_circuit_module	downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	high	False	2	GSM9558427	H628	True	33037	ENSG00000132639	SNAP25	chr20	10218829	10218833	33	1	2	6	24
SOX1	developmental_origin_module	deep_neural_progenitor	FatePolarity	medium_high	True	1	GSM9558427	H628	True	23631	ENSG00000182968	SOX1	chr13	112067148	112067149	7	1	0	3	3
SOX2	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	GSM9558427	H628	True	7593	ENSG00000181449	SOX2	chr3	181711924	181711925	13	1	1	3	8
SOX3	developmental_origin_module	deep_neural_progenitor	FatePolarity	medium_high	True	1	GSM9558427	H628	True	36257	ENSG00000134595	SOX3	chrX	140505115	140505116	1	0	1	0	0
STMN2	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 4 screen-specific mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction;shared_postmitotic_granule_maturation	ConstructionBalance;EpigenomicCompatibility	high	False	4	GSM9558427	H628	True	15543	ENSG00000104435	STMN2	chr8	79610813	79611735	18	1	1	3	13
STMN3	developmental_origin_module;niche_circuit_module	downstream_neurite_morphology;downstream_neurite_synapse_construction;shared_postmitotic_granule_maturation	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558427	H628	True	33812	ENSG00000197457	STMN3	chr20	63652765	63653424	25	1	1	2	21
STXBP1	niche_circuit_module	downstream_synaptic_excitability	ConstructionBalance	high	False	1	GSM9558427	H628	True	17211	ENSG00000136854	STXBP1	chr9	127579369	127612361	42	6	1	3	32
STXBP5L	manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	ConstructionBalance	high	False	2	GSM9558427	H628	True	7002	ENSG00000145087	STXBP5L	chr3	120908071	120908314	17	1	0	0	16
SYNPR	niche_circuit_module	downstream_synaptic_excitability	ConstructionBalance	high	False	1	GSM9558427	H628	True	6650	ENSG00000163630	SYNPR	chr3	63278307	63443337	29	18	2	0	9
SYT1	developmental_origin_module;niche_circuit_module	downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	high	False	2	GSM9558427	H628	True	22185	ENSG00000067715	SYT1	chr12	78863992	79045631	45	29	0	1	15
TBR1	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	3	GSM9558427	H628	True	5072	ENSG00000136535	TBR1	chr2	161416296	161417895	10	0	2	2	6
TCF4	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	True	1	GSM9558427	H628	True	30583	ENSG00000196628	TCF4	chr18	55302625	55636027	72	55	1	2	14
TCF7L2	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	3	GSM9558427	H628	True	18666	ENSG00000148737	TCF7L2	chr10	112950246	112950757	3	1	1	0	1
TMEM178A	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	3883	ENSG00000152154	TMEM178A	chr2	39665916	39665967	35	0	2	3	30
TP53I11	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	19554	ENSG00000175274	TP53I11	chr11	44938334	44951306	44	5	1	1	37
TUBA1A	manuscript_candidate_tier	Tier 3 broad both-screen mechanism support	ConstructionBalance	medium_high	False	1	GSM9558427	H628	True	21658	ENSG00000167552	TUBA1A	chr12	49186863	49189080	29	2	1	1	25
TUBA1B	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558427	H628	True	21656	ENSG00000123416	TUBA1B	chr12	49131394	49131395	25	1	2	1	21
TUBB	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	11643	ENSG00000196230	TUBB	chr6	30720351	30721699	16	2	1	2	11
TUBB3	developmental_origin_module;niche_circuit_module	shared_neurogenic_niche_state;shared_postmitotic_granule_maturation	EpigenomicCompatibility;NicheSignal	high	False	2	GSM9558427	H628	True	28069	ENSG00000258947	TUBB3	chr16	89921850	89923366	30	1	0	4	25
VIM	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	False	2	GSM9558427	H628	True	17718	ENSG00000026025	VIM	chr10	17229277	17229278	7	1	1	1	4
WNT1	developmental_origin_module	hindbrain_rhombic_lip_pattern	FatePolarity	medium_high	False	1	GSM9558427	H628	True	21646	ENSG00000125084	WNT1	chr12	48978321	48978453	22	1	0	2	19
WNT3A	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	False	3	GSM9558427	H628	True	3111	ENSG00000154342	WNT3A	chr1	228006997	228006998	6	0	0	0	6
WNT5A	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558427	H628	True	6593	ENSG00000114251	WNT5A	chr3	55481392	55489945	7	3	0	0	4
WNT7A	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	False	4	GSM9558427	H628	True	6085	ENSG00000154764	WNT7A	chr3	13880070	13880071	6	0	0	0	6
ZBTB20	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	3	GSM9558427	H628	True	6945	ENSG00000181722	ZBTB20	chr3	114383640	115147271	93	84	0	2	7
ZIC1	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558427	H628	True	7297	ENSG00000152977	ZIC1	chr3	147409364	147409365	43	1	1	4	37
ZIC2	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558427	H628	True	23524	ENSG00000043355	ZIC2	chr13	99981783	99981784	31	1	1	6	23
ZIC3	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558427	H628	True	36246	ENSG00000156925	ZIC3	chrX	137566126	137566518	8	1	1	3	3
ZNF148	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	7051	ENSG00000163848	ZNF148	chr3	125375248	125375354	5	1	0	0	4
ZNF260	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	31934	ENSG00000254004	ZNF260	chr19	36525298	36528271	5	1	0	0	4
ZNF277	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	14116	ENSG00000198839	ZNF277	chr7	112206694	112206701	19	1	0	1	17
ZNF280D	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	25704	ENSG00000137871	ZNF280D	chr15	56733493	56734086	5	1	0	0	4
ZNF281	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	2717	ENSG00000162702	ZNF281	chr1	200409991	200410056	4	1	0	0	3
ZNF292	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	12282	ENSG00000188994	ZNF292	chr6	87152832	87155581	8	1	1	0	6
ZNF3	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	13947	ENSG00000166526	ZNF3	chr7	100079166	100081764	21	1	0	1	19
ZNF32	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	17922	ENSG00000169740	ZNF32	chr10	43648703	43648881	9	1	0	0	8
ZNF410	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	24520	ENSG00000119725	ZNF410	chr14	73886616	73902206	10	2	0	0	8
ZNF536	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	31765	ENSG00000198597	ZNF536	chr19	30372383	30372384	25	0	0	1	24
ZNF706	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	15757	ENSG00000120963	ZNF706	chr8	101204700	101206064	27	1	0	0	26
ZNF780A	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	32067	ENSG00000197782	ZNF780A	chr19	40090234	40090938	5	1	0	0	4
ZNF800	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	14220	ENSG00000048405	ZNF800	chr7	127392365	127392708	2	1	0	0	1
ZNF821	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	27729	ENSG00000102984	ZNF821	chr16	71883508	71884204	14	1	1	1	11
ZNF827	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	9013	ENSG00000151612	ZNF827	chr4	145938421	145938823	16	1	2	1	12
ACTB	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558425	H390	True	13111	ENSG00000075624	ACTB	chr7	5530600	5530602	32	1	1	1	29
ACTG1	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558425	H390	True	29977	ENSG00000184009	ACTG1	chr17	81512754	81512818	35	1	1	1	32
ASCL1	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	GSM9558425	H390	True	22384	ENSG00000139352	ASCL1	chr12	102957673	102957674	10	0	1	5	4
ATOH1	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558425	H390	True	8643	ENSG00000172238	ATOH1	chr4	93828752	93828753	7	0	1	0	6
BARHL1	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	False	2	GSM9558425	H390	True	17345	ENSG00000125492	BARHL1	chr9	132582605	132582659	20	0	1	3	16
BASP1	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 3 broad both-screen mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558425	H390	True	9566	ENSG00000176788	BASP1	chr5	17216822	17217631	21	0	2	2	17
BCL11B	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	2	GSM9558425	H390	True	24832	ENSG00000127152	BCL11B	chr14	99271484	99272197	14	1	1	2	10
BCL7A	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	True	1	GSM9558425	H390	True	22695	ENSG00000110987	BCL7A	chr12	122019421	122021886	18	1	1	2	14
BMP4	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558425	H390	True	24270	ENSG00000125378	BMP4	chr14	53953454	53956825	8	2	0	3	3
BMPR1A	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558425	H390	True	18330	ENSG00000107779	BMPR1A	chr10	86756649	86756650	11	1	0	0	10
C14ORF119	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558425	H390	True	23944	ENSG00000179933	C14orf119	chr14	23095504	23095525	19	1	0	0	18
C16ORF87	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558425	H390	True	27304	ENSG00000155330	C16orf87	chr16	46831161	46831180	12	1	0	0	11
C17ORF75	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558425	H390	True	28812	ENSG00000108666	C17orf75	chr17	32342172	32342209	16	1	0	1	14
C1ORF174	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558425	H390	True	147	ENSG00000198912	C1orf174	chr1	3900271	3900272	18	1	0	3	14
C1ORF21	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558425	H390	True	2616	ENSG00000116667	C1orf21	chr1	184387028	184387029	12	1	1	1	9
C1QL3	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	False	2	GSM9558425	H390	True	17709	ENSG00000165985	C1QL3	chr10	16521144	16521879	11	2	1	0	8
C5ORF34	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558425	H390	True	9773	ENSG00000172244	C5orf34	chr5	43515147	43515148	6	1	0	0	5
C9ORF85	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558425	H390	True	16681	ENSG00000155621	C9orf85	chr9	71911544	71911661	8	1	0	0	7
CACNA2D1	manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	ConstructionBalance	high	False	2	GSM9558425	H390	True	13796	ENSG00000153956	CACNA2D1	chr7	82443714	82443777	8	1	0	1	6
CADM3	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 4 screen-specific mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558425	H390	True	2260	ENSG00000162706	CADM3	chr1	159171608	159171615	23	1	1	5	16
CALB1	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	False	2	GSM9558425	H390	True	15629	ENSG00000104327	CALB1	chr8	90081520	90082879	4	1	0	0	3
CALB2	developmental_origin_module	shared_postmitotic_granule_maturation	EpigenomicCompatibility	medium	False	1	GSM9558425	H390	True	27709	ENSG00000172137	CALB2	chr16	71358712	71358723	11	1	0	5	5
CALM1	niche_circuit_module	downstream_synaptic_excitability	ConstructionBalance	high	False	1	GSM9558425	H390	True	24700	ENSG00000198668	CALM1	chr14	90397028	90399082	31	1	1	2	27
CALM2	niche_circuit_module	downstream_synaptic_excitability	ConstructionBalance	high	False	1	GSM9558425	H390	True	3961	ENSG00000143933	CALM2	chr2	47175538	47176921	16	2	0	0	14
CAMK2A	niche_circuit_module	downstream_synaptic_excitability	ConstructionBalance	high	False	1	GSM9558425	H390	True	10798	ENSG00000070808	CAMK2A	chr5	150289737	150290291	14	1	0	1	12
CAMK2B	niche_circuit_module	downstream_synaptic_excitability	ConstructionBalance	high	False	1	GSM9558425	H390	True	13505	ENSG00000058404	CAMK2B	chr7	44325420	44325656	34	1	1	3	29
CFL1	niche_circuit_module	downstream_neurite_morphology	ConstructionBalance	high	False	1	GSM9558425	H390	True	20024	ENSG00000172757	CFL1	chr11	65856963	65861421	27	3	0	1	23
CNTN5	niche_circuit_module	downstream_neurite_morphology	ConstructionBalance	high	False	1	GSM9558425	H390	True	20496	ENSG00000149972	CNTN5	chr11	99020948	99844808	1	1	0	0	0
DCC	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 4 screen-specific mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558425	H390	True	30569	ENSG00000187323	DCC	chr18	52340196	52934772	17	17	0	0	0
DCX	developmental_origin_module;niche_circuit_module	shared_neurogenic_niche_state;shared_postmitotic_granule_maturation	EpigenomicCompatibility;NicheSignal	high	False	2	GSM9558425	H390	True	36051	ENSG00000077279	DCX	chrX	111410948	111412429	1	0	0	0	1
DKK3	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	False	2	GSM9558425	H390	True	19266	ENSG00000050165	DKK3	chr11	12009081	12009769	36	1	1	1	33
DLL1	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558425	H390	True	13004	ENSG00000198719	DLL1	chr6	170291077	170291078	20	1	2	0	17
DPYSL2	developmental_origin_module;niche_circuit_module	downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	2	GSM9558425	H390	True	15056	ENSG00000092964	DPYSL2	chr8	26514030	26578405	34	4	2	2	26
DPYSL3	developmental_origin_module;niche_circuit_module	downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	2	GSM9558425	H390	True	10748	ENSG00000113657	DPYSL3	chr5	147453958	147510068	6	2	0	1	3
DYNLL1	manuscript_candidate_tier	Tier 3 broad both-screen mechanism support	ConstructionBalance	medium_high	False	1	GSM9558425	H390	True	22647	ENSG00000088986	DYNLL1	chr12	120469849	120496113	23	4	1	1	17
EMX1	developmental_origin_module	anterior_telencephalic_pattern	FatePolarity	medium_high	True	1	GSM9558425	H390	True	4193	ENSG00000135638	EMX1	chr2	72916259	72917519	17	2	1	2	12
EMX2	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	3	GSM9558425	H390	True	18712	ENSG00000170370	EMX2	chr10	117542444	117542746	8	0	0	0	8
EN1	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558425	H390	True	4774	ENSG00000163064	EN1	chr2	118847677	118847678	2	0	0	1	1
EN2	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558425	H390	True	14658	ENSG00000164778	EN2	chr7	155458128	155458129	44	0	1	6	37
EOMES	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	3	GSM9558425	H390	True	6182	ENSG00000163508	EOMES	chr3	27722322	27722711	12	1	2	2	7
FGF8	developmental_origin_module	hindbrain_rhombic_lip_pattern	FatePolarity	medium_high	False	1	GSM9558425	H390	True	18556	ENSG00000107831	FGF8	chr10	101775958	101780369	17	1	1	1	14
FOXG1	developmental_origin_module	anterior_telencephalic_pattern	FatePolarity	medium_high	True	1	GSM9558425	H390	True	24043	ENSG00000176165	FOXG1	chr14	28766786	28766787	0	0	0	0	0
FOXN2	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	True	1	GSM9558425	H390	True	3972	ENSG00000170802	FOXN2	chr2	48314681	48346217	34	8	0	4	22
GABRA2	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 1 core convergent program;downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	highest	False	3	GSM9558425	H390	True	8267	ENSG00000151834	GABRA2	chr4	46388712	46475230	2	1	0	0	1
GABRB3	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558425	H390	True	25253	ENSG00000166206	GABRB3	chr15	26629089	26939539	21	20	0	0	1
GAP43	developmental_origin_module;niche_circuit_module	downstream_neurite_morphology;downstream_neurite_synapse_construction;shared_postmitotic_granule_maturation	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558425	H390	True	6954	ENSG00000172020	GAP43	chr3	115623323	115623510	25	1	1	4	19
GBX2	developmental_origin_module	hindbrain_rhombic_lip_pattern	FatePolarity	medium_high	False	1	GSM9558425	H390	True	5828	ENSG00000168505	GBX2	chr2	236168008	236168386	10	2	0	3	5
GFAP	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558425	H390	True	29250	ENSG00000131095	GFAP	chr17	44915485	44915500	21	0	1	1	19
GLI1	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	3	GSM9558425	H390	True	21960	ENSG00000111087	GLI1	chr12	57459784	57460151	17	0	1	5	11
GLI2	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558425	H390	True	4797	ENSG00000074047	GLI2	chr2	120792408	120797291	15	0	1	1	13
